,17:27421752-27422348,1:55076267-55076421,12:105431753-105432327,5:56224548-56225091,1:14925290-14925902,16:89299792-89300475,5:38962421-38963215,2:25456597-25457770,unmapped_reads,total_mapped_reads,total_reads_in_bam,total_reads_in_fastq
Aditee_ALDH1L2_Meir3_wiz_122_S758_L001,0,0,66,959,0,0,0,0,614,1025,1639,1624
sample390_S390_L001,0,0,2,0,0,24,0,8573,1108,8599,9707,9724
Aditee_MYO18A_Fam151a_wiz_33_S477_L001,9123,0,1,0,0,0,0,2,62098,9126,71224,71284
Aditee_KAZN_ZNF778ICTOR_wiz_162_S990_L001,0,0,5,4,6247,6878,1214,0,816,14348,15164,15268
Aditee_KAZN_ZNF778ICTOR_wiz_21_S849_L001,0,0,0,0,7896,7119,2103,0,2018,17118,19136,19252
Aditee_KAZN_ZNF778ICTOR_wiz_179_S1005_L001,0,0,0,0,8015,8150,1573,0,308,17738,18046,18182
sample177_S177_L001,0,0,2,0,0,0,0,7409,852,7411,8263,8286
Aditee_KAZN_ZNF778ICTOR_wiz_49_S877_L001,0,0,0,0,9407,8767,1660,0,13872,19834,33706,33860
Aditee_KAZN_ZNF778ICTOR_wiz_137_S965_L001,0,0,0,0,10365,9819,1966,0,566,22150,22716,22896
sample299_S299_L001,0,0,0,0,0,0,0,3618,786,3618,4404,4408
Aditee_KAZN_ZNF778ICTOR_wiz_2_S830_L001,0,0,0,0,6982,7326,1425,0,1316,15733,17049,17154
sample387_S387_L001,0,0,2,0,0,0,0,8697,712,8699,9411,9424
Aditee_KAZN_ZNF778ICTOR_wiz_174_S1000_L001,0,0,0,0,52,460,849,0,842,1361,2203,2204
sample279_S279_L001,0,0,5,0,0,0,0,1369,308,1374,1682,1690
Aditee_MYO18A_Fam151a_wiz_35_S479_L001,12369,0,0,0,0,0,0,4,66910,12373,79283,79366
sample222_S222_L001,0,0,3,0,0,0,0,4098,658,4101,4759,4762
Aditee_ALDH1L2_Meir3_wiz_152_S788_L001,0,0,0,2,10,0,0,5,15606,17,15623,15624
Aditee_ALDH1L2_Meir3_wiz_60_1_S696_L001,0,0,99,1632,0,0,0,0,1070,1731,2801,2762
Aditee_KAZN_ZNF778ICTOR_wiz_62_S890_L001,0,0,0,4,8403,7880,2021,1,4688,18309,22997,23124
Aditee_ALDH1L2_Meir3_wiz_83_S719_L001,0,0,54,395,0,0,0,1,1274,450,1724,1694
Aditee_KAZN_ZNF778ICTOR_wiz_96_S924_L001,0,0,0,0,6524,5988,1693,0,3452,14205,17657,17754
Aditee_MYO18A_Fam151a_wiz_132_S576_L001,9885,0,96,0,0,0,0,1,37444,9982,47426,47496
Aditee_ALDH1L2_Meir3_wiz_141210_S825_L001,0,0,216,2403,0,0,0,2,478,2621,3099,2964
Aditee_KAZN_ZNF778ICTOR_wiz_87_S915_L001,0,0,0,0,8439,8438,1558,0,1180,18435,19615,19740
Aditee_KAZN_ZNF778ICTOR_wiz_95_S923_L001,0,0,0,0,6230,6357,1484,0,596,14071,14667,14784
sample269_S269_L001,0,0,10,0,0,0,0,3065,656,3075,3731,3746
Aditee_MYO18A_Fam151a_wiz_147_S591_L001,9740,0,0,0,0,0,0,0,4862,9740,14602,14664
Aditee_KAZN_ZNF778ICTOR_wiz_50_S878_L001,0,0,0,0,9998,9116,1639,0,1618,20753,22371,22500
Aditee_ALDH1L2_Meir3_wiz_41_S677_L001,0,0,113,565,0,0,0,0,1302,678,1980,1930
Aditee_KAZN_ZNF778ICTOR_wiz_92_S920_L001,0,0,0,0,8209,8298,1579,0,2028,18086,20114,20226
sample417_S417_L001,0,0,1,0,0,2,0,2099,1358,2102,3460,3464
Aditee_KAZN_ZNF778ICTOR_wiz_15_S843_L001,0,0,0,0,5280,5855,1229,0,806,12364,13170,13258
Aditee_MYO18A_Fam151a_wiz_117_S561_L001,8577,0,0,0,0,0,0,0,4220,8577,12797,12856
sample39_S39_L001,0,0,7,2,0,0,0,8285,766,8294,9060,9076
Aditee_MYO18A_Fam151a_wiz_6_S450_L001,8752,0,3,0,0,0,0,5,17882,8760,26642,26702
Aditee_KAZN_ZNF778ICTOR_wiz_140_S968_L001,0,0,0,0,7839,7464,1311,0,604,16614,17218,17342
sample236_S236_L001,0,0,2,0,0,0,0,5120,830,5122,5952,5962
Aditee_ALDH1L2_Meir3_wiz_34_S670_L001,0,0,121,867,2,0,0,0,1026,990,2016,1952
sample324_S324_L001,0,0,0,0,0,0,0,1515,980,1515,2495,2496
Aditee_ALDH1L2_Meir3_wiz_48_S684_L001,0,0,52,926,0,0,0,4,9976,982,10958,10948
sample155_S155_L001,0,0,0,0,0,0,0,2857,720,2857,3577,3582
Aditee_MYO18A_Fam151a_wiz_151_S595_L001,8507,0,0,0,0,0,0,0,4012,8507,12519,12570
sample148_S148_L001,0,0,0,0,0,0,0,6336,1156,6336,7492,7498
Aditee_MYO18A_Fam151a_wiz_83_S527_L001,9153,0,0,1,0,0,0,2,16018,9156,25174,25232
sample348_S348_L001,0,0,0,0,0,0,0,7,678,7,685,686
Aditee_ALDH1L2_Meir3_wiz_65_S701_L001,0,0,69,369,0,0,0,0,1362,438,1800,1778
Aditee_MYO18A_Fam151a_wiz_99_S543_L001,7814,0,1,0,0,0,0,0,3504,7815,11319,11364
sample168_S168_L001,0,0,0,0,0,0,0,5560,980,5560,6540,6546
Aditee_MYO18A_Fam151a_wiz_155_S599_L001,9181,0,0,0,1,0,0,0,4550,9182,13732,13796
Aditee_ALDH1L2_Meir3_wiz_130_S766_L001,0,0,104,1696,0,0,0,2,1186,1802,2988,2944
sample369_S369_L001,0,0,0,0,0,0,0,4887,1176,4887,6063,6070
sample239_S239_L001,0,0,1,0,0,0,0,9651,1400,9652,11052,11064
sample386_S386_L001,0,0,1,0,0,0,0,518,254,519,773,774
sample255_S255_L001,0,0,24,0,0,0,0,6388,966,6412,7378,7418
Aditee_KAZN_ZNF778ICTOR_wiz_7_S835_L001,0,0,0,0,6289,6658,1320,1,802,14268,15070,15174
sample308_S308_L001,0,0,0,0,2,0,0,2886,282,2888,3170,3176
sample440_S440_L001,0,0,2,0,2,0,0,8199,1338,8203,9541,9554
sample406_S406_L001,0,0,0,0,0,0,0,7742,1044,7742,8786,8794
Aditee_MYO18A_Fam151a_wiz_160_S604_L001,9434,0,1,0,0,0,0,1,15100,9436,24536,24600
sample266_S266_L001,0,0,6,0,0,0,0,9014,664,9020,9684,9708
sample130_S130_L001,0,0,1,0,0,0,0,594,568,595,1163,1166
Aditee_MYO18A_Fam151a_wiz_158_S602_L001,5839,0,2,0,1,1,0,4,83514,5847,89361,89402
sample444_S444_L001,0,0,35,0,0,0,0,4185,970,4220,5190,5232
sample152_S152_L001,0,0,5,1,0,0,0,3240,658,3246,3904,3916
Aditee_ALDH1L2_Meir3_wiz_27_S663_L001,0,0,75,821,0,0,0,2,58394,898,59292,59246
sample323_S323_L001,0,0,2,0,0,0,0,2788,1192,2790,3982,3990
Aditee_MYO18A_Fam151a_wiz_129_S573_L001,9478,0,2,0,0,0,0,0,4722,9480,14202,14262
Aditee_MYO18A_Fam151a_wiz_2_S446_L001,10718,0,0,0,0,0,0,0,50254,10718,60972,61050
Aditee_KAZN_ZNF778ICTOR_wiz_149_S977_L001,0,0,0,0,10154,9400,1549,0,614,21103,21717,21864
sample229_S229_L001,0,0,19,0,0,0,0,3654,574,3673,4247,4272
Aditee_MYO18A_Fam151a_wiz_127_1_S571_L001,8171,0,0,0,0,0,0,0,4092,8171,12263,12322
Aditee_ALDH1L2_Meir3_wiz_47_S683_L001,0,0,117,683,0,0,0,1,15698,801,16499,16444
Aditee_ALDH1L2_Meir3_wiz_30_S666_L001,0,0,112,655,0,0,0,0,1458,767,2225,2164
Aditee_ALDH1L2_Meir3_wiz_151_S787_L001,0,0,151,1401,0,0,0,14,3054,1566,4620,4546
Aditee_ALDH1L2_Meir3_wiz_147_S783_L001,0,0,174,780,0,0,0,4,2008,958,2966,2898
Aditee_KAZN_ZNF778ICTOR_wiz_PC_S1019_L001,2,0,0,0,3585,4394,1182,0,1050,9163,10213,10270
Aditee_ALDH1L2_Meir3_wiz_143_1_S779_L001,0,0,156,1100,0,0,0,6,1306,1262,2568,2508
Aditee_ALDH1L2_Meir3_wiz_78_S714_L001,0,0,158,1460,0,0,0,7,62308,1625,63933,63852
sample203_S203_L001,0,0,0,0,0,0,0,2902,430,2902,3332,3338
Aditee_KAZN_ZNF778ICTOR_wiz_127_1_S955_L001,0,0,0,0,7212,7294,1660,0,720,16166,16886,16998
sample276_S276_L001,0,0,7,0,0,0,0,7124,1008,7131,8139,8160
sample159_S159_L001,0,0,0,0,0,0,0,4278,776,4278,5054,5058
sample143_S143_L001,0,0,2,0,0,0,0,5096,516,5098,5614,5624
Aditee_KAZN_ZNF778ICTOR_wiz_34_S862_L001,0,0,0,0,7919,8426,1608,0,22830,17953,40783,40932
sample2_S2_L001,0,0,8,0,0,0,0,6444,312,6452,6764,6782
Aditee_ALDH1L2_Meir3_wiz_163_S799_L001,0,0,167,888,0,0,0,0,44582,1055,45637,45572
sample307_S307_L001,0,0,1,0,0,0,0,1358,560,1359,1919,1922
Aditee_ALDH1L2_Meir3_wiz_203_S819_L001,0,0,77,1637,0,0,0,2,1466,1716,3182,3146
Aditee_KAZN_ZNF778ICTOR_wiz_42_S870_L001,0,0,0,0,4643,4461,812,0,40454,9916,50370,50458
Aditee_ALDH1L2_Meir3_wiz_110_S746_L001,0,0,166,673,0,0,0,4,1064,843,1907,1832
Aditee_KAZN_ZNF778ICTOR_wiz_144_S972_L001,0,0,0,2,7735,7271,1446,0,758,16454,17212,17326
Aditee_KAZN_ZNF778ICTOR_wiz_20_S848_L001,0,0,0,0,7754,8155,1461,0,39568,17370,56938,57062
sample342_S342_L001,0,0,0,0,0,0,0,167,1136,167,1303,1304
sample262_S262_L001,0,0,2,0,0,0,0,843,868,845,1713,1716
sample126_S126_L001,0,0,6,0,0,0,0,5127,1208,5133,6341,6354
Aditee_KAZN_ZNF778ICTOR_wiz_108_S936_L001,0,0,0,0,6014,6654,1306,0,322,13974,14296,14420
Aditee_ALDH1L2_Meir3_wiz_43_S679_L001,0,0,72,1084,0,0,0,2,32330,1158,33488,33472
sample179_S179_L001,0,0,3,0,0,0,0,4456,910,4459,5369,5382
Aditee_MYO18A_Fam151a_wiz_144_S588_L001,8395,0,0,0,0,0,0,0,3832,8395,12227,12282
Aditee_MYO18A_Fam151a_wiz_113_S557_L001,9749,0,2,0,0,0,0,0,27112,9751,36863,36924
sample352_S352_L001,0,0,1,0,2,0,0,189,1104,192,1296,1298
Aditee_MYO18A_Fam151a_wiz_84_S528_L001,9254,0,0,0,1,0,0,8,16654,9263,25917,25988
Aditee_KAZN_ZNF778ICTOR_wiz_17_S845_L001,0,0,0,0,8152,7697,1700,0,942,17549,18491,18624
Aditee_MYO18A_Fam151a_wiz_36_S480_L001,9223,0,0,0,0,0,0,9,67872,9232,77104,77158
sample242_S242_L001,2,0,5,0,0,0,0,3140,544,3147,3691,3702
sample370_S370_L001,0,0,1,0,0,0,0,5158,688,5159,5847,5854
sample50_S50_L001,0,0,15,1,0,0,0,5559,1162,5575,6737,6764
Aditee_KAZN_ZNF778ICTOR_wiz_33_S861_L001,0,0,0,0,8492,8521,1644,0,2164,18657,20821,20948
Aditee_KAZN_ZNF778ICTOR_wiz_119_S947_L001,0,0,5,0,8606,7872,1573,0,550,18056,18606,18740
Aditee_ALDH1L2_Meir3_wiz_46_S682_L001,0,0,83,1264,0,0,0,0,12708,1347,14055,14010
Aditee_KAZN_ZNF778ICTOR_wiz_159_S987_L001,0,0,0,0,10112,8637,1616,1,546,20366,20912,21048
Aditee_KAZN_ZNF778ICTOR_wiz_198_S998_L001,0,0,0,0,8628,7503,1504,0,688,17635,18323,18446
Aditee_ALDH1L2_Meir3_wiz_128_S764_L001,0,0,117,662,0,0,0,0,1126,779,1905,1864
sample328_S328_L001,1,0,2,0,0,0,0,3544,758,3547,4305,4314
Aditee_KAZN_ZNF778ICTOR_wiz_27_S855_L001,0,0,0,0,6207,5410,1646,0,47672,13263,60935,61020
sample433_S433_L001,0,0,12,0,0,0,0,13193,1324,13205,14529,14564
Aditee_KAZN_ZNF778ICTOR_wiz_88_S916_L001,0,0,0,2,10180,8820,1620,0,444,20622,21066,21210
Aditee_KAZN_ZNF778ICTOR_wiz_43_S871_L001,0,0,0,0,4118,4861,944,0,1574,9923,11497,11574
sample295_S295_L001,0,0,0,0,0,0,0,1518,284,1518,1802,1802
sample275_S275_L001,0,0,0,0,0,0,0,4053,502,4053,4555,4562
Aditee_ALDH1L2_Meir3_wiz_40_S676_L001,0,0,55,491,0,0,0,0,970,546,1516,1496
sample398_S398_L001,0,0,0,0,0,0,0,626,588,626,1214,1214
Aditee_MYO18A_Fam151a_wiz_10_S454_L001,7549,0,0,0,2,0,0,14,72660,7565,80225,80290
sample402_S402_L001,0,0,1,0,0,0,0,5832,1410,5833,7243,7250
sample336_S336_L001,0,0,0,0,0,0,0,6,462,6,468,468
Aditee_ALDH1L2_Meir3_wiz_29_S665_L001,0,0,71,1248,0,0,0,0,1072,1319,2391,2370
Aditee_MYO18A_Fam151a_wiz_130_S574_L001,8873,0,0,0,0,0,0,0,4244,8873,13117,13162
Aditee_KAZN_ZNF778ICTOR_wiz_52_S880_L001,0,0,0,0,6923,6936,1323,0,1654,15182,16836,16942
Aditee_MYO18A_Fam151a_wiz_11_S455_L001,5612,0,0,0,0,0,0,0,3010,5612,8622,8658
sample119_S119_L001,0,0,0,0,0,0,0,1288,552,1288,1840,1842
sample354_S354_L001,0,0,2,0,0,0,0,1359,1002,1361,2363,2366
Aditee_MYO18A_Fam151a_wiz_141216_S632_L001,8075,0,0,0,0,0,0,5,10306,8080,18386,18440
sample200_S200_L001,0,0,1,0,0,0,0,3522,898,3523,4421,4424
sample191_S191_L001,0,0,6,0,0,0,0,9396,596,9402,9998,10018
sample356_S356_L001,0,0,5,0,0,0,0,7557,894,7562,8456,8472
sample187_S187_L001,0,0,8,0,0,0,0,5274,584,5282,5866,5884
Aditee_MYO18A_Fam151a_wiz_32_S476_L001,10131,0,0,0,0,0,0,11,18982,10142,29124,29200
Aditee_MYO18A_Fam151a_wiz_95_S539_L001,10412,0,0,0,0,0,0,1,3872,10413,14285,14350
Aditee_ALDH1L2_Meir3_wiz_45_S681_L001,0,0,93,416,0,0,0,1,35024,510,35534,35496
sample98_S98_L001,0,0,5,0,0,0,0,3834,636,3839,4475,4486
sample238_S238_L001,0,0,3,0,0,0,0,7447,1040,7450,8490,8502
Aditee_KAZN_ZNF778ICTOR_wiz_80_S908_L001,0,0,0,0,7242,6178,1255,0,622,14675,15297,15394
Aditee_MYO18A_Fam151a_wiz_52_S496_L001,9649,0,1,0,0,0,0,1,4796,9651,14447,14510
sample171_S171_L001,0,0,0,0,0,0,0,3393,1032,3393,4425,4432
Aditee_KAZN_ZNF778ICTOR_wiz_156_S984_L001,0,0,0,0,8846,8584,1635,0,640,19065,19705,19860
Aditee_ALDH1L2_Meir3_wiz_67_S703_L001,0,0,141,577,0,0,0,0,960,718,1678,1618
sample219_S219_L001,0,0,9,1,0,0,0,5326,624,5336,5960,5978
Aditee_ALDH1L2_Meir3_wiz_35_S671_L001,0,0,127,1490,0,0,0,0,1274,1617,2891,2824
Aditee_ALDH1L2_Meir3_wiz_150_S786_L001,0,0,110,1506,0,0,0,0,630,1616,2246,2202
sample249_S249_L001,0,0,0,0,0,0,0,7290,916,7290,8206,8220
Aditee_KAZN_ZNF778ICTOR_wiz_121_S949_L001,0,0,0,6,7923,8477,1689,0,766,18095,18861,18992
sample267_S267_L001,0,0,30,0,0,0,0,4105,850,4135,4985,5016
Aditee_ALDH1L2_Meir3_wiz_113_S749_L001,0,0,133,1877,0,0,0,2,1062,2012,3074,3018
Aditee_MYO18A_Fam151a_wiz_123_S567_L001,8206,0,0,0,0,0,0,0,3754,8206,11960,12014
Aditee_ALDH1L2_Meir3_wiz_140_S776_L001,0,0,161,1030,0,0,0,0,8996,1191,10187,10116
Aditee_KAZN_ZNF778ICTOR_wiz_71_S899_L001,0,0,0,0,7609,7331,1217,0,7694,16157,23851,23952
sample389_S389_L001,0,0,2,0,4,0,0,4612,1060,4618,5678,5688
Aditee_KAZN_ZNF778ICTOR_wiz_115_S943_L001,0,0,0,0,7082,7978,1372,0,586,16432,17018,17132
Aditee_MYO18A_Fam151a_wiz_78_S522_L001,8673,0,0,0,0,0,0,0,3848,8673,12521,12576
sample362_S362_L001,16,0,0,2,0,0,0,108,1040,126,1166,1166
Aditee_MYO18A_Fam151a_wiz_138_S582_L001,10254,0,0,0,1,0,0,0,75254,10255,85509,85574
Aditee_ALDH1L2_Meir3_wiz_7_S643_L001,0,0,48,610,0,0,0,0,846,658,1504,1472
Aditee_MYO18A_Fam151a_wiz_160303_S630_L001,5334,0,7,0,0,0,0,1,45314,5342,50656,50698
sample225_S225_L001,0,0,16,0,0,0,0,5950,820,5966,6786,6808
sample311_S311_L001,0,0,0,0,0,0,0,2144,202,2144,2346,2350
Aditee_KAZN_ZNF778ICTOR_wiz_178_1_S1004_L001,0,0,0,0,8160,6337,1300,0,520,15797,16317,16422
sample376_S376_L001,0,0,0,0,0,0,0,2,580,2,582,582
sample392_S392_L001,2,0,0,0,0,0,0,159,44,161,205,206
Aditee_ALDH1L2_Meir3_wiz_202_S818_L001,0,0,83,676,0,0,0,0,5592,759,6351,6326
Aditee_ALDH1L2_Meir3_wiz_59_S695_L001,0,0,126,534,0,0,0,0,868,660,1528,1470
Aditee_KAZN_ZNF778ICTOR_wiz_113_S941_L001,0,0,0,0,9197,9465,1799,0,764,20461,21225,21394
Aditee_MYO18A_Fam151a_wiz_17_S461_L001,8909,0,0,0,0,0,0,0,4786,8909,13695,13742
sample211_S211_L001,0,0,1,0,0,0,0,5368,824,5369,6193,6208
sample111_S111_L001,0,0,0,0,0,0,0,828,610,828,1438,1438
Aditee_ALDH1L2_Meir3_wiz_153_S789_L001,0,0,210,1406,0,0,0,2,27556,1618,29174,29086
sample258_S258_L001,0,0,13,0,0,0,0,5957,1038,5970,7008,7032
sample56_S56_L001,0,0,0,0,0,0,0,579,866,579,1445,1448
Aditee_ALDH1L2_Meir3_wiz_162_S798_L001,0,0,97,1117,0,0,0,11,30080,1225,31305,31266
Aditee_MYO18A_Fam151a_wiz_196_1_S608_L001,6935,0,0,0,2,0,0,2,76396,6939,83335,83390
Aditee_ALDH1L2_Meir3_wiz_114_S750_L001,0,0,63,857,0,0,0,0,39276,920,40196,40166
Aditee_ALDH1L2_Meir3_wiz_63_S699_L001,0,0,53,419,0,0,0,0,1422,472,1894,1874
sample17_S17_L001,0,0,4,0,0,0,0,6523,784,6527,7311,7328
sample69_S69_L001,0,0,3,2,0,0,0,5359,1088,5364,6452,6464
sample281_S281_L001,0,0,5,0,0,0,0,6320,602,6325,6927,6940
Aditee_MYO18A_Fam151a_wiz_90_S534_L001,9958,0,0,0,0,0,0,0,44196,9958,54154,54214
sample76_S76_L001,0,0,0,0,0,0,0,9992,738,9992,10730,10748
sample234_S234_L001,0,0,2,0,0,0,0,977,566,979,1545,1550
Aditee_ALDH1L2_Meir3_wiz_14_S650_L001,0,0,53,882,0,0,0,0,748,935,1683,1676
Aditee_ALDH1L2_Meir3_wiz_61_S697_L001,0,0,90,660,0,0,0,0,1146,750,1896,1858
sample274_S274_L001,0,0,1,0,0,0,0,4285,836,4286,5122,5132
sample40_S40_L001,0,0,13,0,0,0,0,13225,728,13238,13966,14004
Aditee_MYO18A_Fam151a_wiz_69_S513_L001,10454,0,0,0,0,0,0,3,5058,10457,15515,15578
Aditee_ALDH1L2_Meir3_wiz_112_S748_L001,0,0,297,1615,0,0,0,2,974,1914,2888,2734
Aditee_KAZN_ZNF778ICTOR_wiz_107_S935_L001,0,0,0,0,9689,9259,1699,0,386,20647,21033,21170
sample294_S294_L001,0,0,0,0,0,0,0,1761,992,1761,2753,2756
Aditee_ALDH1L2_Meir3_wiz_149_S785_L001,0,0,138,1810,0,0,2,4,1208,1954,3162,3094
Aditee_ALDH1L2_Meir3_wiz_42_S678_L001,0,0,80,493,0,0,0,1,1214,574,1788,1748
sample20_S20_L001,0,0,0,0,0,0,0,27,640,27,667,668
sample316_S316_L001,0,0,9,0,0,0,0,5347,978,5356,6334,6350
sample150_S150_L001,0,0,5,0,0,0,0,2885,748,2890,3638,3646
Aditee_ALDH1L2_Meir3_wiz_51_S687_L001,0,0,167,572,1,0,0,2,62218,742,62960,62866
sample437_S437_L001,0,0,4,0,0,0,0,8832,1142,8836,9978,9996
Aditee_ALDH1L2_Meir3_wiz_206_1_S820_L001,0,0,10,160,0,0,0,6,90,176,266,262
Aditee_KAZN_ZNF778ICTOR_wiz_201_S1009_L001,0,0,0,0,8888,8349,1600,0,576,18837,19413,19552
Aditee_ALDH1L2_Meir3_wiz_85_S721_L001,0,0,125,1347,0,0,0,0,956,1472,2428,2366
Aditee_MYO18A_Fam151a_wiz_141210_S633_L001,9924,0,0,0,0,0,0,2,67724,9926,77650,77724
sample79_S79_L001,0,0,10,0,0,0,0,11649,912,11659,12571,12596
Aditee_MYO18A_Fam151a_wiz_199_S623_L001,8258,0,0,0,0,1,0,1,4094,8260,12354,12396
Aditee_KAZN_ZNF778ICTOR_wiz_90_S918_L001,0,0,0,0,9187,8664,1902,0,3396,19753,23149,23278
sample26_S26_L001,0,0,3,0,0,0,0,1586,806,1589,2395,2402
sample278_S278_L001,0,0,2,0,0,0,0,8175,542,8177,8719,8736
Aditee_MYO18A_Fam151a_wiz_8_S452_L001,6304,0,0,0,0,0,0,2,52826,6306,59132,59162
Aditee_ALDH1L2_Meir3_wiz_50_S686_L001,0,0,115,525,0,0,0,5,36878,645,37523,37468
sample434_S434_L001,0,0,0,0,0,0,0,7573,996,7573,8569,8580
Aditee_ALDH1L2_Meir3_wiz_120_S756_L001,0,0,293,1358,0,0,0,0,824,1651,2475,2358
Aditee_ALDH1L2_Meir3_wiz_141430_S826_L001,0,0,264,1242,0,0,0,0,3788,1506,5294,5172
sample68_S68_L001,0,0,1,0,0,0,0,6347,664,6348,7012,7020
sample217_S217_L001,0,0,8,0,0,0,0,10151,952,10159,11111,11132
sample246_S246_L001,0,0,4,0,0,0,0,9255,1014,9259,10273,10288
Aditee_KAZN_ZNF778ICTOR_wiz_124_S952_L001,0,0,0,1,10367,9302,1616,0,652,21286,21938,22090
sample167_S167_L001,0,0,0,0,0,0,0,2089,716,2089,2805,2808
sample427_S427_L001,0,0,0,0,0,0,0,3578,776,3578,4354,4364
Aditee_KAZN_ZNF778ICTOR_wiz_6_S834_L001,0,0,0,0,7202,7064,1057,0,998,15323,16321,16446
Aditee_MYO18A_Fam151a_wiz_114_S558_L001,7880,0,0,0,0,0,0,8,78874,7888,86762,86810
sample418_S418_L001,0,0,2,0,4,0,0,6740,1610,6746,8356,8370
sample202_S202_L001,0,0,7,0,0,0,0,6003,604,6010,6614,6632
sample393_S393_L001,0,0,0,0,0,0,0,5515,1156,5515,6671,6676
Aditee_MYO18A_Fam151a_wiz_62_S506_L001,11888,0,0,0,0,0,0,8,73800,11896,85696,85774
Aditee_MYO18A_Fam151a_wiz_30_S474_L001,10262,0,0,0,0,0,0,5,21698,10267,31965,32026
Aditee_MYO18A_Fam151a_wiz_50_S494_L001,10814,0,0,0,0,0,0,0,5552,10814,16366,16438
sample257_S257_L001,0,0,8,0,0,0,0,7341,958,7349,8307,8322
sample193_S193_L001,0,0,0,0,0,0,0,11361,958,11361,12319,12334
Aditee_KAZN_ZNF778ICTOR_wiz_74_S902_L001,0,0,0,0,6197,6025,1211,0,40294,13433,53727,53806
sample122_S122_L001,0,0,2,0,2,0,0,4232,380,4236,4616,4626
sample224_S224_L001,0,0,0,0,0,0,0,929,736,929,1665,1666
sample419_S419_L001,0,0,0,0,4,0,0,3419,800,3423,4223,4226
sample260_S260_L001,0,0,4,0,0,0,0,5502,896,5506,6402,6422
Aditee_ALDH1L2_Meir3_wiz_25_S661_L001,0,0,102,548,2,0,0,1,23176,653,23829,23784
Aditee_KAZN_ZNF778ICTOR_wiz_158_S986_L001,0,0,0,10,9822,8857,1517,0,490,20206,20696,20830
Aditee_ALDH1L2_Meir3_wiz_57_S693_L001,0,0,136,748,0,0,0,0,1192,884,2076,2006
sample95_S95_L001,0,0,0,0,0,0,0,7078,1446,7078,8524,8530
Aditee_ALDH1L2_Meir3_wiz_105_S741_L001,0,0,63,1355,0,0,0,0,464,1418,1882,1860
Aditee_ALDH1L2_Meir3_wiz_141216_S824_L001,0,0,245,2055,0,0,0,1,1352,2301,3653,3530
Aditee_MYO18A_Fam151a_wiz_5_S449_L001,8547,0,0,1,0,0,0,3,16586,8551,25137,25200
Aditee_ALDH1L2_Meir3_wiz_91_S727_L001,2,0,163,608,0,0,0,0,740,773,1513,1428
Aditee_MYO18A_Fam151a_wiz_122_S566_L001,8770,0,0,0,0,0,0,0,4178,8770,12948,13000
sample6_S6_L001,0,0,0,0,0,0,0,2056,890,2056,2946,2948
